Landing Page,Impressions,Url Clicks,URL CTR,title,subtitle,date_published,date_updated
https://www.israelhayom.co.il/horoscopes/pisces/article/17264363,91354,6901,0.07554130087,"מזל דגים,  תחזית הורוסקופ שבועית, לשבוע של 31.01.2025 - 06.02.2025",תנסו לפתור בעיה מתמשכת. הגיע הזמן לעשות שינויים קטנים שיאפשרו לכם למצוא את האדם הנכון לשתף איתו פעולה,2025-01-30T20:40:54.000Z,2025-01-30T20:40:54.000Z
https://www.israelhayom.co.il/horoscopes/pisces/article/17078574,93052,6971,0.07491510123,"מזל דגים,  תחזית הורוסקופ שבועית, לשבוע של 03.01.2025 - 09.01.2025","המציאות תדרוש מכם הערכה מחדש, ויהיה עליכם להניח הכל על השולחן. תרגישו שאינכם יכולים להישאר במחויבות כלשהי",2025-01-02T20:57:37.000Z,2025-01-02T20:57:37.000Z
https://www.israelhayom.co.il/horoscopes/capricorn/article/16623943,99654,7026,0.07050394365,"מזל גדי,  תחזית הורוסקופ שבועית, לשבוע של 18.10.2024 - 24.10.2024","החגים ידרשו מכם השקעות במשפחה. אל תהססו לבקש עזרה, בעיקר בהכנות לחג",2024-10-17T19:53:43.000Z,2024-10-17T19:53:43.000Z
https://www.israelhayom.co.il/horoscopes/sagittarius/article/17216671,92783,6441,0.06942004462,"מזל קשת,  תחזית הורוסקופ שבועית, לשבוע של 24.01.2025 - 30.01.2025","תהליך ההתקרבות לאדם חדש יהיה הדרגתי, ותשמרו על חשדנות. חוויות עשויות להוביל להתקשרות, אך תעדיפו לשמור על מעט מרחק",2025-01-23T20:26:13.000Z,2025-01-23T20:26:13.000Z
https://www.israelhayom.co.il/horoscopes/capricorn/article/17357720,91752,7711,0.08404176476,"מזל גדי,  תחזית הורוסקופ שבועית, לשבוע של 14.02.2025 - 20.02.2025",אתם מתמלאים רצון להתנתק עקב תחושת מיצוי. תמצאו דרך לשלב בין מה שחשוב לכם לשמר לבין חידושים,2025-02-13T20:40:36.000Z,2025-02-13T20:40:36.000Z
https://www.israelhayom.co.il/horoscopes/capricorn/article/17299507,88428,7494,0.08474691274,"מזל גדי,  תחזית הורוסקופ שבועית, לשבוע של 07.02.2025 - 13.02.2025",בחרו להתבונן פנימה ולהבין את ההחלטות שאתם צריכים לקבל כדי להשתפר במסגרת האחריות המקצועית שלכם. מומלץ להאציל סמכויות כדי להתמודד עם אתגרים,2025-02-06T20:30:00.000Z,2025-02-06T20:30:00.000Z
https://www.israelhayom.co.il/horoscopes/pisces/article/16829496,89277,6735,0.07543936288,"מזל דגים,  תחזית הורוסקופ שבועית, לשבוע של 22.11.2024 - 28.11.2024","תנסו לקדם יוזמות חדשות, אך תתקשו להשיג שיתופי פעולה, והאתגרים ילכו ויהיו קשים יותר ויותר. זה לא הזמן לעמוד על שלכם, אך אם תנסו - תצליחו ליהנות מצמיחה ומהעצמה אישית",2024-11-22T06:00:30.000Z,2024-11-22T06:00:30.000Z
https://www.israelhayom.co.il/horoscopes/pisces/article/17216679,88427,6939,0.07847150757,"מזל דגים,  תחזית הורוסקופ שבועית, לשבוע של 24.01.2025 - 30.01.2025",פשרות יעזרו לכם לשנות את התוכנית המקורית ולתת לזוויות ראייה אחרות להשפיע על תהליך קבלת ההחלטות. השינויים עשויים להגיע בעקבות לימודים או היכרות עם תרבות שונה,2025-01-23T20:26:13.000Z,2025-01-23T20:26:13.000Z
https://www.israelhayom.co.il/horoscopes/pisces/article/17357739,85461,6559,0.07674845836,"מזל דגים,  תחזית הורוסקופ שבועית, לשבוע של 14.02.2025 - 20.02.2025","תהיה לכם הזדמנות להתנתק ממה שמפריע לכם. אם תנהלו משא ומתן, תפתיעו את עצמכם ביכולתכם להציג עמדות נחרצות",2025-02-13T20:40:36.000Z,2025-02-13T20:40:36.000Z
https://www.israelhayom.co.il/horoscopes/capricorn/article/15762878,85552,4785,0.05593089583,"יום שני, מזל גדי: עשו כל מאמץ להשתחרר ממחויבויות לא חיוניות",התחייבות שתיקחו עליכם תשנה את מערך הכוחות ותציב אתכם בעמדת כוח רצינית. תבחרו באנשים עליהם אתם הולכים לסמוך ולהיעזר בהם,2024-05-26T20:30:32.000Z,2024-05-26T20:30:32.000Z
https://www.israelhayom.co.il/horoscopes/gemini/article/17078536,86504,5984,0.06917599186,"מזל תאומים,  תחזית הורוסקופ שבועית, לשבוע של 03.01.2025 - 09.01.2025","האתגרים יימשכו, אך תהיה לכם הזדמנות לקבל החלטות עצמאיות גם במסגרת הקיימת, וגם במצבים חדשים שלא הייתם רגילים להם. כל הצעה שתגיע תדרוש משא ומתן, אך לא תוכלו לדעת איך תתפתח הסיטואציה",2025-01-02T20:57:37.000Z,2025-01-02T20:57:37.000Z
https://www.israelhayom.co.il/horoscopes/aries/article/17122765,83785,6328,0.07552664558,"מזל טלה,  תחזית הורוסקופ שבועית, לשבוע של 10.01.2025 - 16.01.2025","התקופה הקרובה תהיה עמוסה. תקבלו מידע על דברים נסתרים, ותבינו למה לא הכל זורם בקצב שלכם",2025-01-09T21:13:32.000Z,2025-01-09T21:13:32.000Z
https://www.israelhayom.co.il/horoscopes/aries/article/17498678,85491,6014,0.07034658619,מזל טלה: תבחרו בדרך הנכונה לכם | תחזית הורוסקופ ליום ראשון,מישהו מנסה להוריד ואפילו לגנות את האנרגיה החיובית שאתם מפיצים סביבכם. חבל שאתם בוחרים להיעלב במקום להגיב ובחומרה רבה,2025-03-08T21:30:05.000Z,2025-03-08T21:30:05.000Z
https://www.israelhayom.co.il/horoscopes/capricorn/article/16599138,84702,6945,0.08199334136,"מזל גדי,  תחזית הורוסקופ שבועית, לשבוע של 11.10.2024 - 17.10.2024","צפויה תקופה של שמחה בכל הקשור לבית ולמשפחה. הזוגיות חשובה לכם, ותשקיעו בה",2024-10-11T04:47:33.000Z,2024-10-11T04:47:33.000Z
https://www.israelhayom.co.il/horoscopes/pisces/article/16960103,82467,6640,0.08051705531,"מזל דגים,  תחזית הורוסקופ שבועית, לשבוע של 13.12.2024 - 19.12.2024","תקבלו החלטות תוך הפגנת שיקול דעת, אך ייתכן שגם תצטרכו לתת למציאות להכריע. אל תמהרו לקבל עצות שלא מתאימות לאופי שלכם",2024-12-13T07:14:04.000Z,2024-12-13T07:14:04.000Z
https://www.israelhayom.co.il/horoscopes/capricorn/article/17036657,82185,6884,0.08376224372,"מזל גדי,  תחזית הורוסקופ שבועית, לשבוע של 27.12.2024 - 02.01.2025","אתם ממשיכים לחפש דרך להשתחרר, אבל מתלבטים ומתקשים לוותר על עמדות שלכם. חפשו דרך לשלב בין הצרכים הקונקרטיים לבין משאלות הלב - זו הדרך להתקדם",2024-12-26T20:59:25.000Z,2024-12-26T20:59:25.000Z
https://www.israelhayom.co.il/horoscopes/leo/article/17531283,82425,6343,0.0769548074,"מזל אריה,  תחזית הורוסקופ שבועית, לשבוע של 14.03.2025 - 20.03.2025","תצטרכו לתמרן בין מסרים כפולים. הציפיות שלכם גבוהות, אך תקבלו מחמאות על העשייה שהוכחתם, וייתכן קידום קטן",2025-03-13T20:27:20.000Z,2025-03-13T20:27:20.000Z
https://www.israelhayom.co.il/horoscopes/sagittarius/article/16632665,78271,4989,0.06374008253,מזל קשת: מומלץ לדחות טיול מתוכנן | תחזית הורוסקופ ליום ראשון,"יום לחוץ במקצת שגורם לכם להרגיש רצון להשתחרר ממחוייבות ולצאת לחופשה. יש מי שהולך איתכם דרך ארוכה ולמרות הבעיות שהיו פה ושם, כעת זה הזמן המתאים לעזור ולא לנטוש",2024-10-19T20:30:47.000Z,2024-10-19T20:30:47.000Z
https://www.israelhayom.co.il/horoscopes/pisces/article/17299517,78218,6689,0.08551740009,"מזל דגים,  תחזית הורוסקופ שבועית, לשבוע של 07.02.2025 - 13.02.2025","הוציאו את התוכניות שלכם אל הפועל בעזרת מספר מצומצם של אנשים, כדי להיות בטוחים שאתם פועלים יחד למען מימוש המטרה. גייסו את הסבלנות שחסרה לכם עכשיו, היא חשובה מתמיד",2025-02-06T20:30:00.000Z,2025-02-06T20:30:00.000Z
https://www.israelhayom.co.il/horoscopes/capricorn/article/15941460,78424,6196,0.0790064266,"יום חמישי, מזל גדי: כשיגיע הזמן המתאים הדברים יסתדרו",תוכלו להצליח הרבה יותר בחיים אם תאמצו לעצמכם גישה של למצות את החיים עד תום ולא להתעצבן על כול מה שלא עולה בקנה אחד עם ציפיותיכם. אינכם צריכים להתאמץ יותר מדי,2024-06-19T20:30:42.000Z,2024-06-19T20:30:42.000Z
https://www.israelhayom.co.il/horoscopes/aries/article/16623934,81909,5595,0.068307512,"מזל טלה,  תחזית הורוסקופ שבועית, לשבוע של 18.10.2024 - 24.10.2024","תבחרו לצאת לטיול בארץ או בחו""ל. עבורכם, לנשום אוויר נקי זה טעם החיים",2024-10-17T19:53:43.000Z,2024-10-17T19:53:43.000Z
https://www.israelhayom.co.il/horoscopes/capricorn/article/16960098,79748,6618,0.08298640718,"מזל גדי,  תחזית הורוסקופ שבועית, לשבוע של 13.12.2024 - 19.12.2024",מערכת אתגרים חדשה תעמיד אתכם בפני מצבים לא מוכרים. תנסו להסתגל לכל מה שיוצא דופן ולשלב אותו במסלולכם לעבר המטרה,2024-12-13T07:14:04.000Z,2024-12-13T07:14:04.000Z
